Building,Business,Entertainment,Medicine,Otdoor,Religion,Residence,Restaurant,School,Shopping,Snackbar,Sports,Traffic
130,0,0,1,0,0,0,0,0,0,0,0,0,0
131,0,0,0.772727,0.181818,0,0,0,0,0,0,0,0,0.0454545
132,0,0,0.578947,0.210526,0,0,0.210526,0,0,0,0,0,0
133,0,0.0454545,0.5,0.136364,0,0,0.181818,0,0,0,0,0,0.136364
134,0,0,1,0,0,0,0,0,0,0,0,0,0
135,0,0.0454545,0.681818,0.227273,0,0,0,0,0,0,0,0,0.0454545
136,0.0645161,0.0967742,0.612903,0.129032,0,0,0,0,0,0,0,0,0.0967742
137,0.166667,0.166667,0.166667,0.5,0,0,0,0,0,0,0,0,0
138,0.125,0.0625,0.375,0.3125,0,0,0.0625,0,0,0,0.0625,0,0
139,0.1,0,0.4,0.3,0,0,0.1,0,0,0,0.1,0,0
140,0.0714286,0,0.5,0.285714,0,0,0.0714286,0,0,0,0.0714286,0,0
141,0,0,0.666667,0.333333,0,0,0,0,0,0,0,0,0
142,0,0,0.666667,0.333333,0,0,0,0,0,0,0,0,0
143,0,0,0.666667,0.333333,0,0,0,0,0,0,0,0,0
144,0,0,1,0,0,0,0,0,0,0,0,0,0
145,0.0909091,0,0.454545,0.272727,0,0,0.0909091,0,0,0,0.0909091,0,0
146,0.1,0,0.4,0.3,0,0,0.1,0,0,0,0.1,0,0
147,0.0625,0.0625,0.375,0.375,0,0,0.0625,0,0,0,0.0625,0,0
148,0,0.2,0.2,0.6,0,0,0,0,0,0,0,0,0
149,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
150,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
151,0,0.0833333,0.666667,0.166667,0,0,0,0.0833333,0,0,0,0,0
152,0,0,0.714286,0.285714,0,0,0,0,0,0,0,0,0
153,0,0,0.571429,0.428571,0,0,0,0,0,0,0,0,0
154,0,0,0.466667,0.466667,0.0666667,0,0,0,0,0,0,0,0
155,0.0909091,0,0.454545,0.363636,0.0909091,0,0,0,0,0,0,0,0
156,0.166667,0,0.333333,0.333333,0.166667,0,0,0,0,0,0,0,0
157,0,0,0.666667,0.222222,0,0,0,0,0,0,0,0.111111,0
158,0,0.0769231,0.423077,0.384615,0,0.0384615,0,0,0,0,0,0.0384615,0.0384615
159,0,0,0.454545,0.363636,0,0.0909091,0,0,0,0,0,0,0.0909091
160,0.0416667,0.0416667,0.458333,0.333333,0,0.0416667,0.0416667,0,0,0,0,0,0.0416667
161,0.1,0.1,0.2,0.4,0,0,0.1,0,0,0,0,0.1,0
162,0.166667,0,0.333333,0.333333,0.166667,0,0,0,0,0,0,0,0
163,0.0833333,0,0.416667,0.416667,0.0833333,0,0,0,0,0,0,0,0
164,0,0,0.466667,0.466667,0.0666667,0,0,0,0,0,0,0,0
165,0,0,0.538462,0.461538,0,0,0,0,0,0,0,0,0
166,0,0,0.714286,0.285714,0,0,0,0,0,0,0,0,0
167,0,0.0769231,0.615385,0.153846,0,0,0,0.153846,0,0,0,0,0
168,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
169,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
170,0,0.333333,0.333333,0.333333,0,0,0,0,0,0,0,0,0
171,0.1,0.1,0.2,0.4,0,0,0.1,0,0,0,0,0.1,0
172,0.0416667,0.0416667,0.458333,0.333333,0,0.0416667,0.0416667,0,0,0,0,0,0.0416667
173,0,0,0.454545,0.363636,0,0.0909091,0,0,0,0,0,0,0.0909091
174,0.0344828,0.0689655,0.413793,0.37931,0,0.0344828,0,0,0,0,0,0.0344828,0.0344828
175,0,0,0.6,0.3,0,0,0,0,0,0,0,0.1,0
176,0,0.0714286,0.678571,0.214286,0,0,0,0,0,0,0,0,0.0357143
177,0,0.0833333,0.583333,0.291667,0.0416667,0,0,0,0,0,0,0,0
178,0,0.05,0.6,0.3,0.05,0,0,0,0,0,0,0,0
179,0,0,0.375,0.5,0.125,0,0,0,0,0,0,0,0
180,0.0333333,0.0333333,0.533333,0.333333,0.0333333,0,0.0333333,0,0,0,0,0,0
181,0,0,0.5,0.1,0,0,0.4,0,0,0,0,0,0
182,0,0,0.285714,0.142857,0,0,0.571429,0,0,0,0,0,0
183,0,0,0.285714,0.142857,0,0,0.571429,0,0,0,0,0,0
184,0,0,1,0,0,0,0,0,0,0,0,0,0
185,0,0,1,0,0,0,0,0,0,0,0,0,0
186,0,0,1,0,0,0,0,0,0,0,0,0,0
187,0,0.166667,0.666667,0,0.166667,0,0,0,0,0,0,0,0
188,0,0.08,0.6,0.2,0,0,0,0,0,0,0,0,0.12
189,0.0625,0.0625,0.53125,0.25,0,0,0,0,0,0,0,0,0.09375
190,0.1,0.05,0.45,0.25,0,0,0,0,0,0,0,0,0.15
191,0.0740741,0.0740741,0.518519,0.222222,0.037037,0,0,0,0,0,0,0,0.0740741
192,0.0540541,0.0540541,0.567568,0.243243,0,0,0,0,0,0,0,0,0.0810811
193,0,0.0740741,0.555556,0.259259,0.037037,0,0,0,0,0,0,0,0.0740741
194,0.0689655,0.0689655,0.551724,0.241379,0,0,0,0,0,0,0,0,0.0689655
195,0,0,0.470588,0.352941,0.0588235,0.0588235,0,0,0,0,0,0,0.0588235
